Year,Commercial
1983,181.4264
1984,153.2755
1985,171.4617
1986,86.7961
1987,88.5297
1988,102.1292
1989,131.1077
1990,156.2288
1991,218.5612
1992,187.6869
1993,230.096
1994,216.5585
1995,319.3165
1996,294.6736
1997,269.5999
1998,252.0487
1999,277.7542
2000,495.6776
2001,359.7639
2002,258.2905
2003,213.0802
2004,263.2325
2005,206.6119
2006,218.106
2007,165.2125
2008,302.295
2009,174.3202
2010,169.2905
2011,117.5356
2012,161.9373
2013,101.7232
2014,150.8338
2015,138.7346
2016,148.0931
2017,98.2535
2018,116.6727
2019,129.4294
2020,97.3407
2021,116.1257
2022,136.7938
