Year,Month,Fleet,Sex,Nsamps,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48
1984,-7,1,0,2829,0,0,0,0.093434429,0.844061372,3.575412146,7.016707486,9.208957346,7.49817403,4.233165916,2.872852326,1.921132107,0.794286436,0.418566923,0.523249477
1985,7,-1,0,38,0,0,0,0.001829826,0.006404392,0.056724611,0.206770357,0.315645014,0.217749314,0.106129918,0.045745654,0.022872827,0.010064044,0.007319305,0.002744739
1986,7,-1,0,43,0,0,0,0.002173913,0.043478261,0.106521739,0.241304348,0.226086957,0.180434783,0.089130435,0.060869565,0.017391304,0.019565217,0.010869565,0.002173913
1987,7,-1,0,15,0,0,0,0.003610108,0.14801444,0.317689531,0.296028881,0.158844765,0.036101083,0.007220217,0.014440433,0.010830325,0.003610108,0.003610108,0
1988,7,-1,0,48,0,0,0,0.010688836,0.041567696,0.141330166,0.283847981,0.226840855,0.135391924,0.080760095,0.040380048,0.017814727,0.013064133,0.005938242,0.002375297
1989,7,-1,0,35,0,0,0,0.004901961,0.031862745,0.183823529,0.274509804,0.210784314,0.117647059,0.085784314,0.049019608,0.019607843,0.007352941,0.007352941,0.007352941
1990,7,-1,0,67,0,0,0,0.001682086,0.031118587,0.192598823,0.195121951,0.237174096,0.168208579,0.082422204,0.052985702,0.027754415,0.005046257,0.003364172,0.002523129
1991,7,-1,0,302,0,0,0,0.002737851,0.024754734,0.112936345,0.237622633,0.262833676,0.179785535,0.090463153,0.047912389,0.024070272,0.008213552,0.004791239,0.003878622
1992,7,-1,0,314,0,0,0,0.008845644,0.062693498,0.189960195,0.255970809,0.203670942,0.145400265,0.07717824,0.030959752,0.014927023,0.005749668,0.002211411,0.002432552
1993,7,-1,0,170,0,0,0,0.002494932,0.041634181,0.200686106,0.264618743,0.248869484,0.123343209,0.063932637,0.032434118,0.01387806,0.004677998,0.002338999,0.001091533
1994,7,-1,0,72,0,0,0,0.000255037,0.012241775,0.102269829,0.294057638,0.305789339,0.170874777,0.06503443,0.028819179,0.012751849,0.005610814,0.000510074,0.001785259
1995,7,-1,0,104,0,0,0,0.002071619,0.026931045,0.128736313,0.232021308,0.202426753,0.163065996,0.115714708,0.068659367,0.032849956,0.01331755,0.004439183,0.009766203
1996,7,-1,0,26,0,0,0,0,0.008908686,0.213808463,0.240534521,0.260579065,0.146993318,0.055679287,0.037861915,0.020044543,0.006681514,0.008908686,0
1997,7,-1,0,40,0,0,0,0.015706806,0.04886562,0.179755672,0.230366492,0.176265271,0.115183246,0.082024433,0.043630017,0.062827225,0.015706806,0.008726003,0.020942408
1998,7,-1,0,40,0,0,0,0.00059312,0.003558719,0.069395018,0.179122183,0.201067616,0.15599051,0.110320285,0.065243179,0.077698695,0.049822064,0.046263345,0.040925267
