"Parameter","Scenario","Estimate"
"Commercial
 Equilibrium Catch","a_ct",167.619
"Commercial
 Equilibrium Catch","a_m1",168.991
"Commercial
 Equilibrium Catch","a_m2",168.908
"Commercial
 Equilibrium Catch","a_m3",210.087
"Commercial
 Equilibrium Catch","v01_ct",167.745
"Commercial
 Equilibrium Catch","v01_m1",169.053
"Commercial
 Equilibrium Catch","v01_m2",168.945
"Commercial
 Equilibrium Catch","v01_m3",211.42
"Commercial
 Equilibrium Catch","v03_m3",142.192
"Commercial
 Equilibrium Catch","v07_m3",141.443
"Commercial
 Equilibrium Catch","v08a_m3",224.968
"Commercial
 Equilibrium Catch","v08b_m1",168.371
"Commercial
 Equilibrium Catch","v08b_m2",168.579
"Commercial
 Equilibrium Catch","v08b_m3",229.393
"Commercial
 Equilibrium Catch","v17a_m3",271.467
"Commercial
 Equilibrium Catch","v17a_m3_64",267.541
"Commercial
 Equilibrium Catch","v17b_m1",168.647
"Commercial
 Equilibrium Catch","v17b_m1_64",168.427
"Commercial
 Equilibrium Catch","v17b_m2",168.647
"Commercial
 Equilibrium Catch","v17b_m2_64",168.408
"Commercial
 Equilibrium Catch","v17b_m3",287.923
"Commercial
 Equilibrium Catch","v17b_m3_64",283.996
"Commercial
 Equilibrium Catch","v19a_m3",143.65
"Commercial
 Equilibrium Catch","v21a_m3_f2_0310",237.022
"Commercial
 Equilibrium Catch","v21b_m3_f2_0310",262.571
"Commercial
 Equilibrium Catch","v26a_m3",206.797
"Commercial
 Equilibrium Catch","v26a_m3_64",183.993
"Commercial
 Equilibrium Catch","v28a_m3_64_f2_0310",252.722
"Commercial
 Equilibrium Catch","v28a_m3_f2_0310",265.382
"Commercial
 Equilibrium Catch","v28b_m3_64_f2_0310",379.242
"Commercial
 Equilibrium Catch","v28b_m3_f2_0310",392.578
"Commercial
 Equilibrium Catch","v29a_m3_f2_0310",192.115
"Commercial
 Equilibrium Catch","v31a_m3_64_f2_0310",192.932
"Commercial
 Equilibrium Catch","v31a_m3_f2_0310",229.299
