"Scenario","Estimate","SD","CV"
"a_ct",189.79,0.22,0
"a_m1",184.72,0.22,0
"a_m2",184.64,0.23,0
"a_m3",187.77,1.09,0.01
"a_m3_s1",187.61,1.04,0.01
"a_m3_s2",187.35,1.19,0.01
"a_m3_s3",187.86,1.09,0.01
"a_m3_s4",187.43,1.18,0.01
"v01_ct",189.83,0.22,0
"v01_m1",184.72,0.22,0
"v01_m2",184.64,0.23,0
"v01_m3",187.93,1.09,0.01
"v01_m3_s1",187.7,1.04,0.01
"v01_m3_s2",187.68,1.19,0.01
"v01_m3_s3",188.02,1.08,0.01
"v01_m3_s4",187.75,1.18,0.01
"v03_m3",159.04,7.55,0.05
"v07_m3",160.97,7.57,0.05
"v08a_m2",184.65,0.22,0
"v08a_m3",190.35,1.24,0.01
"v08a_m3_s1",190.06,1.16,0.01
"v08a_m3_s2",190.4,1.35,0.01
"v08a_m3_s3",190.41,1.23,0.01
"v08a_m3_s4",190.54,1.35,0.01
"v08b_m1",185.27,0.36,0
"v08b_m2",187.68,1.87,0.01
"v08b_m3",195.44,4.89,0.03
"v17a_m3",274.62,8.01,0.03
"v17a_m3_64",284.74,6.08,0.02
"v17b_m1",386.49,49.51,0.13
"v17b_m1_64",594.57,183.62,0.31
"v17b_m2",386.74,49.61,0.13
"v17b_m2_64",681.96,252.5,0.37
"v17b_m3",330.24,4.29,0.01
"v17b_m3_64",347.96,4.96,0.01
"v19a_m2",166.76,4.86,0.03
"v19a_m3",159.97,7.82,0.05
"v19a_m3_s1",156.01,7.05,0.05
"v19a_m3_s2",158.86,8.15,0.05
"v19a_m3_s3",157.95,8.62,0.05
"v19a_m3_s4",159.63,8.43,0.05
"v21a_m3_f2_0310",256.9,7.59,0.03
"v21b_m3_f2_0310",274.85,7.91,0.03
"v26a_m3",162.25,9.69,0.06
"v26a_m3_64",166.57,10.52,0.06
"v28a_m2_f2_0310",241.47,3.79,0.02
"v28a_m3_64_f2_0310",283.82,10.02,0.04
"v28a_m3_f2_0310",267.18,7.24,0.03
"v28a_m3_f2_0310_s1",261.07,6.77,0.03
"v28a_m3_f2_0310_s2",258.9,6.24,0.02
"v28a_m3_f2_0310_s3",267.72,7.36,0.03
"v28a_m3_f2_0310_s4",259.19,6.31,0.02
"v28b_m3_64_f2_0310",376.34,50.02,0.13
"v28b_m3_f2_0310",354.52,37.93,0.11
"v29a_m3_f2_0310",174.01,7.44,0.04
"v31a_m2_f2_0310",160.82,3.13,0.02
"v31a_m3_64_f2_0310",192.36,13.59,0.07
"v31a_m3_f2_0310",177.98,10.34,0.06
"v31a_m3_f2_0310_s1",179.31,11,0.06
"v31a_m3_f2_0310_s2",174.86,9.98,0.06
"v31a_m3_f2_0310_s3",185.85,11.34,0.06
"v31a_m3_f2_0310_s4",175.25,10.1,0.06
