scenario,note,sensitivity,rec_dev,new,new note,report,run
a_ct,index,a,,,,,
a_m1,index,a,,,,,
a_m2,index,a,,,,,
a_m3,index,a,,v03_m3,a + d,a_m3,
v01_ct,index + annual comp FI,a + b,,,,,
v01_m1,index + annual comp FI,a + b,,,,,
v01_m2,index + annual comp FI,a + b,,,,,
v01_m3,index + annual comp FI,a + b,,v07_m3,a + b + d,v01_m3,
v03_m3,index + rec dev,a + d,on,,,v31a_m3,
v04_m3,index + dome sel FI*,a + e*,,v13a_m3,a + d + e*,,v04_m3
v06_m3,index + annual comp FI + annual comp FD,a + b + c,,v16_m3,a + b + c + d,v06_m3,v06_m3
v07_m3,index + annual comp FI + rec dev,a + b + d,on,,,,
v08a_m3,index + annual comp FI + dome sel FI*,a + b + e*,,v19a_m3,a + b + d + e*,,
v08b_m1,index + annual comp FI + dome sel FI & FD,a + b + e,,,,,
v08b_m2,index + annual comp FI + dome sel FI & FD,a + b + e,,,,,
v08b_m3,index + annual comp FI + dome sel FI & FD,a + b + e,,,,v28a_m3,
v13a_m3,index + annual comp FI + dome sel FI* + rec dev,a + d + e*,on,,,,v13a_m3
v16_m3,index + annual comp FI + annual comp FD + rec dev,a + b + c + d,on,,,,v16_m3
v17a_m3,index + annual comp FI & FD + dome sel FI*,a + b + c + e*,,v26a_m3,a + b + c + d + e*,,v17a_m3
v17a_m3_64,index + annual comp FI & FD* + dome sel FI*,a + b + c* + e*,,v26a_m3_64,a + b + c* + d + e*,,
v17b_m1,index + annual comp FI & FD + dome sel FI & FD,a + b + c + e,,,,,
v17b_m1_64,index + annual comp FI & FD* + dome sel FI & FD,a + b + c* + e,,,,,
v17b_m2,index + annual comp FI & FD + dome sel FI & FD,a + b + c + e,,,,,
v17b_m2_64,index + annual comp FI & FD* + dome sel FI & FD,a + b + c* + e,,,,,
v17b_m3,index + annual comp FI & FD + dome sel FI & FD,a + b + c + e,,,,,
v17b_m3_64,index + annual comp FI & FD* + dome sel FI & FD,a + b + c* + e,,,,,
v19a_m3,index + annual comp FI + dome sel FI* + rec dev,a + b + d + e*,on,,,v19a_m3,
v21a_m3_f2_0310,index + annual comp FI + dome sel FI* + timeblock 0310,a + b + e* + f2,,v29a_m3_f2_0310,a + b + d + e* + f2,,
v21b_m3_f2_0310,index + annual comp FI + dome sel FI & FD + timeblock 0310,a + b + e + f2,,,,,
v26a_m3,index + annual comp FI & FD + dome sel FI* + rec dev,a + b + c + d + e*,on,,,,v26a_m3
v26a_m3_64,index + annual comp FI & FD* + dome sel FI + rec dev,a + b + c* + d + e*,on,,,,
v28a_m3_64_f2_0310,index + annual comp FI & FD* + dome sel FI* + timeblock 0310,a + b + c* + e* + f2,,v31a_m3_64_f2_0310,a + b + c* + d + e* + f2,,
v28a_m3_f2_0310,index + annual comp FI & FD + dome sel FI* + timeblock 0310,a + b + c + e* + f2,,v31a_m3_f2_0310,a + b + c + d + e* + f2,v08a_m3,
v28b_m3_64_f2_0310,index + annual comp FI & FD* + dome sel FI & FD + timeblock 0310,a + b + c* + e + f2,,,,,
v28b_m3_f2_0310,index + annual comp FI & FD + dome sel FI & FD + timeblock 0310,a + b + c + e + f2,,,,,
v29a_m3_f2_0310,index + annual comp FI + dome sel FI *+ timeblock 0310 + rec dev,a + b + d + e* + f2,on,,,,
v31a_m3_64_f2_0310,index + annual comp FI & FD* + dome sel FI + timeblock 0310 + rec dev,a + b + c* + d + e* + f2,on,,,,
v31a_m3_f2_0310,index + annual comp FI  & FD + dome sel FI* + timeblock 0310 + rec dev,a + b + c + d + e* + f2,on,,,,
a_m3_s1,,s1,,,,,
a_m3_s2,,s2,,,,,
a_m3_s3,,s3,,,,,
a_m3_s4,,s4,,,,,
v01_m3_s1,,s1,,,,,
v01_m3_s2,,s2,,,,,
v01_m3_s3,,s3,,,,,
v01_m3_s4,,s4,,,,,
v08a_m3_s1,,s1,,,,,
v08a_m3_s2,,s2,,,,,
v08a_m3_s3,,s3,,,,,
v08a_m3_s4,,s4,,,,,
v19a_m3_s1,,s1,,,,,
v19a_m3_s2,,s2,,,,,
v19a_m3_s3,,s3,,,,,
v19a_m3_s4,,s4,,,,,
v28a_m3_f2_0310_s1,,s1,,,,,
v28a_m3_f2_0310_s2,,s2,,,,,
v28a_m3_f2_0310_s3,,s3,,,,,
v28a_m3_f2_0310_s4,,s4,,,,,
v31a_m3_f2_0310_s1,,s1,,,,,
v31a_m3_f2_0310_s2,,s2,,,,,
v31a_m3_f2_0310_s3,,s3,,,,,
v31a_m3_f2_0310_s4,,s4,,,,,
