"Scenario","Parameter","Estimate","SD","CV"
"a_ct","SSB_Initial",355.35,4.65,0.01
"a_ct","Bratio_2012",0.07,0,0.06
"a_ct","SSB_unfished",717.67,1.95,0
"a_m1","SSB_Initial",308.79,4.68,0.02
"a_m1","Bratio_2012",0.08,0,0.03
"a_m1","SSB_unfished",659.08,2.63,0
"a_m2","SSB_Initial",309.11,4.7,0.02
"a_m2","Bratio_2012",0.08,0,0.03
"a_m2","SSB_unfished",659.67,2.67,0
"a_m3","SSB_Initial",194.16,32.24,0.17
"a_m3","Bratio_2012",0.09,0,0.04
"a_m3","SSB_unfished",666.2,3.48,0.01
"v01_ct","SSB_Initial",354.63,4.63,0.01
"v01_ct","Bratio_2012",0.07,0,0.05
"v01_ct","SSB_unfished",716.81,1.8,0
"v01_m1","SSB_Initial",308.36,4.67,0.02
"v01_m1","Bratio_2012",0.08,0,0.03
"v01_m1","SSB_unfished",658.54,2.6,0
"v01_m2","SSB_Initial",308.96,4.69,0.02
"v01_m2","Bratio_2012",0.08,0,0.03
"v01_m2","SSB_unfished",659.54,2.65,0
"v01_m3","SSB_Initial",189.51,31.52,0.17
"v01_m3","Bratio_2012",0.09,0,0.04
"v01_m3","SSB_unfished",666.52,3.48,0.01
"v03_m3","SSB_Initial",256.41,41.55,0.16
"v03_m3","Bratio_2012",0.06,0.03,0.51
"v03_m3","SSB_unfished",538.62,49.44,0.09
"v07_m3","SSB_Initial",260.44,42.26,0.16
"v07_m3","Bratio_2012",0.1,0.02,0.26
"v07_m3","SSB_unfished",541.09,49.38,0.09
"v08a_m3","SSB_Initial",131.7,25.96,0.2
"v08a_m3","Bratio_2012",0.1,0.01,0.06
"v08a_m3","SSB_unfished",667.66,3.61,0.01
"v08b_m1","SSB_Initial",320.54,4.6,0.01
"v08b_m1","Bratio_2012",0.09,0,0.02
"v08b_m1","SSB_unfished",681.03,3.65,0.01
"v08b_m2","SSB_Initial",326.21,9.45,0.03
"v08b_m2","Bratio_2012",0.13,0.03,0.24
"v08b_m2","SSB_unfished",682.32,9.08,0.01
"v08b_m3","SSB_Initial",94.99,57.12,0.6
"v08b_m3","Bratio_2012",0.1,0.01,0.11
"v08b_m3","SSB_unfished",673.46,4.33,0.01
"v17a_m3","SSB_Initial",20.52,1.16,0.06
"v17a_m3","Bratio_2012",0.51,0.02,0.04
"v17a_m3","SSB_unfished",997.48,31.38,0.03
"v17a_m3_64","SSB_Initial",17.6,0.63,0.04
"v17a_m3_64","Bratio_2012",0.53,0.01,0.02
"v17a_m3_64","SSB_unfished",1047.87,24.3,0.02
"v17b_m1","SSB_Initial",1204.55,213.77,0.18
"v17b_m1","Bratio_2012",0.68,0.04,0.06
"v17b_m1","SSB_unfished",1584.17,215,0.14
