"Scenario","Parameter","Estimate","SD","CV","Gradient"
"a_ct","SR_LN(R0)",7.07,0,0,-4.15667e-06
"a_ct","InitF_seas_1_flt_1Commercial",0.14,0,0,8.21855e-08
"a_ct","Size_DblN_peak_Commercial(1)",28.71,0.34,0.01,-1.83111e-07
"a_ct","Size_DblN_ascend_se_Commercial(1)",3.51,0.1,0.03,2.16259e-07
"a_ct","Size_DblN_peak_NCRMP(2)",10.7,35.49,3.32,9.19211e-10
"a_ct","Size_DblN_ascend_se_NCRMP(2)",4.22,180.6,42.8,-7.41551e-11
"a_m1","SR_LN(R0)",7.15,0,0,0.0149029
"a_m1","InitF_seas_1_flt_1Commercial",0.16,0,0,0.000137013
"a_m1","Size_DblN_peak_Commercial(1)",28.33,0.33,0.01,0.000677935
"a_m1","Size_DblN_ascend_se_Commercial(1)",3.32,0.1,0.03,-0.000774266
"a_m1","Size_DblN_peak_NCRMP(2)",6.58,0.02,0,-0.000219228
"a_m1","Size_DblN_ascend_se_NCRMP(2)",3.08,13.05,4.24,2.18358e-06
"a_m2","SR_LN(R0)",7.15,0,0,-0.000151463
"a_m2","InitF_seas_1_flt_1Commercial",0.16,0,0,9.47536e-06
"a_m2","Size_DblN_peak_Commercial(1)",28.33,0.33,0.01,-3.29211e-05
"a_m2","Size_DblN_ascend_se_Commercial(1)",3.33,0.1,0.03,4.13757e-05
"a_m2","Size_DblN_peak_NCRMP(2)",16.63,1.04,0.06,2.40201e-06
"a_m2","Size_DblN_ascend_se_NCRMP(2)",6.18,2.95,0.48,-1.68873e-08
"a_m3","SR_LN(R0)",7.16,0.01,0,9.71116e-06
"a_m3","InitF_seas_1_flt_1Commercial",0.34,0.08,0.24,-6.73906e-08
"a_m3","Size_DblN_peak_Commercial(1)",28.73,0.35,0.01,6.36337e-08
"a_m3","Size_DblN_ascend_se_Commercial(1)",3.39,0.09,0.03,4.45988e-08
"a_m3","Size_DblN_peak_NCRMP(2)",16.56,1.03,0.06,-1.14398e-08
"a_m3","Size_DblN_ascend_se_NCRMP(2)",6.61,4.55,0.69,-1.49287e-10
"a_m3_s1","SR_LN(R0)",7.1,0.01,0,-0.0090526
"a_m3_s1","InitF_seas_1_flt_1Commercial",0.61,0.15,0.25,8.6834e-05
"a_m3_s1","Size_DblN_peak_Commercial(1)",28.67,0.36,0.01,-0.000693785
"a_m3_s1","Size_DblN_ascend_se_Commercial(1)",3.37,0.1,0.03,0.000879291
"a_m3_s1","Size_DblN_peak_NCRMP(2)",16.53,1.03,0.06,7.09798e-07
"a_m3_s1","Size_DblN_ascend_se_NCRMP(2)",6.14,2.89,0.47,2.26514e-07
"a_m3_s2","SR_LN(R0)",7.08,0.01,0,1.73273e-06
"a_m3_s2","InitF_seas_1_flt_1Commercial",0.39,0.08,0.21,-3.65925e-09
"a_m3_s2","Size_DblN_peak_Commercial(1)",28.58,0.34,0.01,-3.74837e-08
"a_m3_s2","Size_DblN_ascend_se_Commercial(1)",3.39,0.09,0.03,2.37045e-08
"a_m3_s2","Size_DblN_peak_NCRMP(2)",16.53,1.07,0.06,9.68822e-08
"a_m3_s2","Size_DblN_ascend_se_NCRMP(2)",7.34,9.53,1.3,-2.79567e-09
"a_m3_s3","SR_LN(R0)",7.16,0.01,0,-6.05682e-05
"a_m3_s3","InitF_seas_1_flt_1Commercial",0.35,0.08,0.23,5.48782e-07
"a_m3_s3","Size_DblN_peak_Commercial(1)",28.74,0.35,0.01,-2.17717e-07
"a_m3_s3","Size_DblN_ascend_se_Commercial(1)",3.39,0.09,0.03,5.61395e-07
"a_m3_s3","Size_DblN_peak_NCRMP(2)",16.56,1.03,0.06,4.94713e-07
"a_m3_s3","Size_DblN_ascend_se_NCRMP(2)",6.63,4.63,0.7,-1.46579e-07
"a_m3_s4","SR_LN(R0)",7.08,0.01,0,0.0111433
"a_m3_s4","InitF_seas_1_flt_1Commercial",0.39,0.08,0.21,-0.000200952
"a_m3_s4","Size_DblN_peak_Commercial(1)",28.59,0.34,0.01,0.000877859
"a_m3_s4","Size_DblN_ascend_se_Commercial(1)",3.39,0.09,0.03,-0.0010152
"a_m3_s4","Size_DblN_peak_NCRMP(2)",16.53,1.08,0.07,1.88259e-05
"a_m3_s4","Size_DblN_ascend_se_NCRMP(2)",7.37,9.86,1.34,5.58596e-07
"v01_ct","SR_LN(R0)",7.07,0,0,5.77585e-05
"v01_ct","InitF_seas_1_flt_1Commercial",0.14,0,0,-1.89279e-06
"v01_ct","Size_DblN_peak_Commercial(1)",28.7,0.33,0.01,2.24828e-06
"v01_ct","Size_DblN_ascend_se_Commercial(1)",3.48,0.09,0.03,-1.9356e-06
"v01_ct","Size_DblN_peak_NCRMP(2)",10.67,31.61,2.96,-6.76776e-09
"v01_ct","Size_DblN_ascend_se_NCRMP(2)",4.21,179.44,42.62,-1.87291e-10
"v01_m1","SR_LN(R0)",7.15,0,0,0.000231202
"v01_m1","InitF_seas_1_flt_1Commercial",0.17,0,0,-3.40906e-06
"v01_m1","Size_DblN_peak_Commercial(1)",28.36,0.33,0.01,1.94558e-05
"v01_m1","Size_DblN_ascend_se_Commercial(1)",3.31,0.1,0.03,-2.47422e-05
"v01_m1","Size_DblN_peak_NCRMP(2)",6.58,0.02,0,-4.75778e-07
"v01_m1","Size_DblN_ascend_se_NCRMP(2)",3.23,13.18,4.08,-4.09624e-09
"v01_m2","SR_LN(R0)",7.15,0,0,1.88947e-05
"v01_m2","InitF_seas_1_flt_1Commercial",0.16,0,0,5.51269e-06
"v01_m2","Size_DblN_peak_Commercial(1)",28.35,0.33,0.01,-3.48072e-06
"v01_m2","Size_DblN_ascend_se_Commercial(1)",3.34,0.1,0.03,6.61095e-06
"v01_m2","Size_DblN_peak_NCRMP(2)",17.09,1.21,0.07,-5.2254e-07
"v01_m2","Size_DblN_ascend_se_NCRMP(2)",5.68,1.71,0.3,-1.88277e-08
"v01_m3","SR_LN(R0)",7.16,0.01,0,-1.28954e-07
"v01_m3","InitF_seas_1_flt_1Commercial",0.36,0.08,0.22,-5.66175e-07
"v01_m3","Size_DblN_peak_Commercial(1)",28.75,0.35,0.01,7.13098e-06
"v01_m3","Size_DblN_ascend_se_Commercial(1)",3.4,0.09,0.03,-1.05269e-05
"v01_m3","Size_DblN_peak_NCRMP(2)",16.95,1.17,0.07,6.62955e-08
"v01_m3","Size_DblN_ascend_se_NCRMP(2)",5.85,2.07,0.35,-3.4789e-08
"v01_m3_s1","SR_LN(R0)",7.1,0.01,0,-0.000145704
"v01_m3_s1","InitF_seas_1_flt_1Commercial",0.62,0.15,0.24,1.52948e-06
"v01_m3_s1","Size_DblN_peak_Commercial(1)",28.68,0.36,0.01,-1.12266e-05
"v01_m3_s1","Size_DblN_ascend_se_Commercial(1)",3.37,0.1,0.03,1.55399e-05
"v01_m3_s1","Size_DblN_peak_NCRMP(2)",16.9,1.11,0.07,9.19744e-07
"v01_m3_s1","Size_DblN_ascend_se_NCRMP(2)",5.59,1.59,0.28,-1.02195e-07
"v01_m3_s2","SR_LN(R0)",7.08,0.01,0,0.000478756
"v01_m3_s2","InitF_seas_1_flt_1Commercial",0.41,0.09,0.22,-1.03685e-05
"v01_m3_s2","Size_DblN_peak_Commercial(1)",28.63,0.34,0.01,4.64747e-05
"v01_m3_s2","Size_DblN_ascend_se_Commercial(1)",3.4,0.09,0.03,-5.73932e-05
"v01_m3_s2","Size_DblN_peak_NCRMP(2)",16.96,1.19,0.07,-3.75568e-07
"v01_m3_s2","Size_DblN_ascend_se_NCRMP(2)",6,2.39,0.4,4.52714e-09
"v01_m3_s3","SR_LN(R0)",7.16,0.01,0,-5.49329e-05
"v01_m3_s3","InitF_seas_1_flt_1Commercial",0.36,0.08,0.22,7.11937e-07
"v01_m3_s3","Size_DblN_peak_Commercial(1)",28.76,0.35,0.01,-3.80461e-06
"v01_m3_s3","Size_DblN_ascend_se_Commercial(1)",3.4,0.09,0.03,4.75643e-06
"v01_m3_s3","Size_DblN_peak_NCRMP(2)",16.94,1.17,0.07,6.98222e-09
"v01_m3_s3","Size_DblN_ascend_se_NCRMP(2)",5.86,2.08,0.35,1.2374e-08
"v01_m3_s4","SR_LN(R0)",7.08,0.01,0,0.000786119
"v01_m3_s4","InitF_seas_1_flt_1Commercial",0.42,0.09,0.21,-1.65147e-05
"v01_m3_s4","Size_DblN_peak_Commercial(1)",28.64,0.34,0.01,7.38246e-05
"v01_m3_s4","Size_DblN_ascend_se_Commercial(1)",3.4,0.09,0.03,-9.13652e-05
"v01_m3_s4","Size_DblN_peak_NCRMP(2)",16.96,1.19,0.07,-4.60101e-07
"v01_m3_s4","Size_DblN_ascend_se_NCRMP(2)",6.01,2.41,0.4,-1.24063e-08
"v03_m3","SR_LN(R0)",6.95,0.05,0.01,-0.000363673
"v03_m3","InitF_seas_1_flt_1Commercial",0.19,0.06,0.32,7.75284e-06
"v03_m3","Size_DblN_peak_Commercial(1)",30.68,0.59,0.02,-2.5127e-05
"v03_m3","Size_DblN_ascend_se_Commercial(1)",3.61,0.09,0.02,3.8022e-05
"v03_m3","Size_DblN_peak_NCRMP(2)",21.19,1.96,0.09,-2.49937e-07
"v03_m3","Size_DblN_ascend_se_NCRMP(2)",11.42,14.76,1.29,-8.52586e-09
"v07_m3","SR_LN(R0)",6.97,0.05,0.01,-0.000528927
"v07_m3","InitF_seas_1_flt_1Commercial",0.17,0.06,0.35,1.01657e-05
"v07_m3","Size_DblN_peak_Commercial(1)",30.39,0.64,0.02,-4.8603e-05
"v07_m3","Size_DblN_ascend_se_Commercial(1)",3.6,0.1,0.03,5.82993e-05
"v07_m3","Size_DblN_peak_NCRMP(2)",21.48,1.86,0.09,-3.8533e-06
"v07_m3","Size_DblN_ascend_se_NCRMP(2)",9.61,33.48,3.48,4.44005e-08
"v08a_m2","SR_LN(R0)",7.14,0,0,17913.5
"v08a_m2","InitF_seas_1_flt_1Commercial",0.17,0,0,8.7267
"v08a_m2","Size_DblN_peak_Commercial(1)",28.5,0.32,0.01,1119.98
"v08a_m2","Size_DblN_ascend_se_Commercial(1)",3.32,0.09,0.03,-1388.6
"v08a_m2","Size_DblN_peak_NCRMP(2)",17.97,0.6,0.03,-80.7697
"v08a_m2","Size_DblN_top_logit_NCRMP(2)",-1.53,0.1,-0.07,-6.62428
"v08a_m2","Size_DblN_end_logit_NCRMP(2)",-0.54,0.18,-0.33,275.217
"v08a_m3","SR_LN(R0)",7.16,0.01,0,-3.659e-07
"v08a_m3","InitF_seas_1_flt_1Commercial",0.59,0.16,0.27,3.69345e-09
